name,n_pp
KI,1.11891376001748e+20
KI,75922321094258200000
KI,51516024257754400000
KI,34955474451719100000
KI,23718546059207200000
KI,16093886179109300000
KI,10920280345159500000
KI,7409802796522300000
KI,5027817578665530000
KI,3411554976362060000
KI,2314862696317060000
KI,1570717558394450000
KI,1065788330415230000
KI,723175697106326000
KI,490700708536837000
KI,332958071353766000
KI,225924021202460000
KI,153297570317803000
KI,104017912483261000
KI,70579893046703400
KI,47890994767548100
KI,32495761622880300
KI,22049542478060700
KI,14961407248403100
KI,10151852677765900
KI,6888396998886910
KI,4674025000076010
KI,3171493992583770
KI,2151972688272610
KI,1460190831692510
KI,990791972579389
KI,672287971881160
KI,456171557263483
KI,309528800618502
KI,210026418474317
KI,142510475117048
KI,96698480383081
KI,65613395042382.9
KI,44521047153831.1
KI,30209130862586
KI,20497981164226.5
KI,13908616994642.5
KI,9437496532724.36
KI,6403680575722.5
KI,4345127394972.52
KI,2948325067316.81
KI,2000544482264.28
KI,1357441290848.43
KI,921072663220.061
KI,624980868377.725
KI,424071946770.29
KI,287748025796.376
KI,195247348977.69
KI,132482318227.323
KI,89893991856.6122
KI,60996284342.2231
KI,41388153532.3813
KI,28083334154.7607
KI,19055537905.8735
KI,12929855362.0572
KI,8773361082.38464
KI,5953031643.64796
KI,4039337919.65129
KI,2740828977.23921
KI,1859744898.411
KI,1261898484.74921
KI,856238911.438711
KI,580984932.119978
KI,394215760.129624
KI,267486643.393268
KI,181496802.670316
KI,123149972.087445
KI,83559870.3627605
KI,56696841.4495783
KI,38469551.6596326
KI,26101888.2286444
KI,17710162.6565391
KI,12016228.0244857
KI,8152818.82022202
KI,5531467.0420147
KI,3752878.55085523
KI,2546120.22298909
KI,1727356.26323666
KI,1171849.32494044
KI,794962.277207369
KI,539267.234748556
KI,365798.584446209
KI,248117.864088684
KI,168286.582784703
KI,114133.649154167
KI,77401.2371545719
KI,52486.7030814528
KI,35588.9441694566
KI,24129.1846094388
KI,16357.9695657652
KI,11088.5070213576
KI,7515.74010647615
KI,5093.58959020065
KI,3451.66586956561
KI,2338.76143451564
KI,1584.51392047613
KI,1073.39771293909
KI,727.080163216552
KI,492.452831148945
KI,333.512864993875
KI,225.856349601083
KI,152.943557923393
KI,103.566160426262
KI,70.1297241323909
KI,47.4891847535896
KI,32.1593445726696
KI,21.7796890192149
KI,14.7516483763031
KI,9.99277561272142
KI,6.77018152404161
KI,4.5876911576517
KI,3.10940743250705
KI,2.10794404612698
KI,1.42937129580794
KI,0.969482554950768
KI,0.657727548443346
KI,0.446336979223315
KI,0.302961718762096
KI,0.205691110608611
KI,0.139681469491256
KI,0.0948742343293128
KI,0.0644515201723097
KI,0.0437906422499013
KI,0.02975636662898
KI,0.0202216075416784
KI,0.0137428105786621
KI,0.00934011319922556
KI,0.00634771429063307
KI,0.00431378950300456
KI,0.00293142742475187
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
KI,0
