name,time,sp,value,kappa,lambda,relative_change,biomass_change
KI_LD,200,G.fraseri,0.025829314,0.2688,2.04,1.004011747,0.004011747
KI_LD,200,G.nicholsi,0.072214204,0.2688,2.04,1.015589511,0.015589511
KI_LD,200,K.anderssoni,0.004399321,0.2688,2.04,1.010656545,0.010656545
KI_LD,200,N.achirus,0.10188702,0.2688,2.04,1.010486956,0.010486956
KI_LD,200,N.coatsi,0.008353955,0.2688,2.04,1.005821281,0.005821281
KI_LD,200,P.antarcticum,0.569614225,0.2688,2.04,1.006667288,0.006667288
KI_LD,200,P.bolini,0.006250888,0.2688,2.04,1.00586637,0.00586637
KI_LD,200,P.gracilis,0.008487696,0.2688,2.04,1.004240717,0.004240717
KD_LD,200,B.antarcticus,0.037692176,0.243,2.04,0.947517252,-0.052482748
KD_LD,200,C.gunnari,0.005445683,0.243,2.04,0.981028601,-0.018971399
KD_LD,200,C.microdon,0.025178235,0.243,2.04,0.978636094,-0.021363906
KD_LD,200,C.piriei,0.006271597,0.243,2.04,0.986881552,-0.013118448
KD_LD,200,D.eleginoides,0.003377375,0.243,2.04,0.982958119,-0.017041881
KD_LD,200,D.mawsoni,0.004858358,0.243,2.04,0.989644466,-0.010355534
KD_LD,200,E.antarctica,0.030136709,0.243,2.04,0.917502786,-0.082497214
KD_LD,200,E.carlsbergi,0.00743268,0.243,2.04,0.953457526,-0.046542474
KD_LD,200,G.braueri,0.041978688,0.243,2.04,0.957343276,-0.042656724
KD_LD,200,G.fraseri,0.02484808,0.243,2.04,0.965870185,-0.034129815
KD_LD,200,G.nicholsi,0.067119213,0.243,2.04,0.94393576,-0.05606424
KD_LD,200,K.anderssoni,0.004087951,0.243,2.04,0.939125398,-0.060874602
KD_LD,200,N.achirus,0.097076197,0.243,2.04,0.962774561,-0.037225439
KD_LD,200,N.coatsi,0.008186398,0.243,2.04,0.985647305,-0.014352695
KD_LD,200,P.antarcticum,0.549462437,0.243,2.04,0.971053457,-0.028946543
KD_LD,200,P.bolini,0.005903092,0.243,2.04,0.949900557,-0.050099443
KD_LD,200,P.gracilis,0.008380969,0.243,2.04,0.991613036,-0.008386964
