name,sp,w,value
Base,E.antarctica,0.115,0.00479168018997829
Base,E.carlsbergi,0.115,0.00123922839877294
Base,G.braueri,0.115,0.00233352972106737
Base,G.fraseri,0.115,0.00526180434143567
Base,G.nicholsi,0.115,0.00175153492529407
Base,K.anderssoni,0.115,0.00331093390139942
Base,N.achirus,0.115,0.00191138543886191
Base,N.coatsi,0.115,6.54334713519572e-07
Base,P.antarcticum,0.115,0.00183694894512218
Base,P.bolini,0.115,0.00484034667944773
Base,P.gracilis,0.115,1.22616771473821e-07
Base,B.antarcticus,0.139,0.00251157217031505
Base,C.gunnari,0.139,1.02429056329612e-07
Base,C.microdon,0.139,0.00354723150940538
Base,C.piriei,0.139,2.64001980143828e-07
Base,D.eleginoides,0.139,1.30464915606265e-09
Base,D.mawsoni,0.139,3.40895043049925e-10
Base,E.antarctica,0.139,0.0040422707976655
Base,E.carlsbergi,0.139,0.00106062619519046
Base,G.braueri,0.139,0.00201394432644099
Base,G.fraseri,0.139,0.00453468863690408
Base,G.nicholsi,0.139,0.00150544333666631
Base,K.anderssoni,0.139,0.00281326004847028
Base,N.achirus,0.139,0.00166071092991882
Base,N.coatsi,0.139,5.75257018053561e-07
Base,P.antarcticum,0.139,0.00160016431191733
Base,P.bolini,0.139,0.00410713463390997
Base,P.gracilis,0.139,1.08028976885136e-07
Base,B.antarcticus,0.168,0.00215370593863945
Base,C.gunnari,0.168,8.9596756914945e-08
Base,C.microdon,0.168,0.00320917849622116
Base,C.piriei,0.168,2.32351543674346e-07
Base,D.eleginoides,0.168,1.14684625981031e-09
Base,D.mawsoni,0.168,2.999079816695e-10
Base,E.antarctica,0.168,0.00340048091636355
Base,E.carlsbergi,0.168,0.00090603466485836
Base,G.braueri,0.168,0.00173604800305955
Base,G.fraseri,0.168,0.00390210278634857
Base,G.nicholsi,0.168,0.00129172083352553
Base,K.anderssoni,0.168,0.00238485105377647
Base,N.achirus,0.168,0.00144162918509931
Base,N.coatsi,0.168,5.05646540834529e-07
Base,P.antarcticum,0.168,0.00139307615319831
Base,P.bolini,0.168,0.00347630817577578
Base,P.gracilis,0.168,9.51707806985707e-08
Base,B.antarcticus,0.203,0.00184433334918793
Base,C.gunnari,0.203,7.83347987777267e-08
Base,C.microdon,0.203,0.00287752697221466
Base,C.piriei,0.203,2.04481413011746e-07
Base,D.eleginoides,0.203,1.00802718762525e-09
Base,D.mawsoni,0.203,2.63820701842206e-10
Base,E.antarctica,0.203,0.00285279422784266
Base,E.carlsbergi,0.203,0.000772515956418152
Base,G.braueri,0.203,0.00149472106198256
Base,G.fraseri,0.203,0.00335257756276804
Base,G.nicholsi,0.203,0.00110650271330709
Base,K.anderssoni,0.203,0.00201703142333205
Base,N.achirus,0.203,0.00125034230427518
Base,N.coatsi,0.203,4.44387201449726e-07
Base,P.antarcticum,0.203,0.00121210715515091
Base,P.bolini,0.203,0.00293497478157582
Base,P.gracilis,0.203,8.38383981717764e-08
Base,B.antarcticus,0.246,0.00157726427603436
Base,C.gunnari,0.246,6.84585534505881e-08
Base,C.microdon,0.246,0.00257935825187307
Base,C.piriei,0.246,1.79942878089421e-07
Base,D.eleginoides,0.246,8.85934238083152e-10
Base,D.mawsoni,0.246,2.32054284785831e-10
Base,E.antarctica,0.246,0.00238708545232616
Base,E.carlsbergi,0.246,0.000657454568976934
Base,G.braueri,0.246,0.00128543007149928
Base,G.fraseri,0.246,0.00287594847821525
Base,G.nicholsi,0.246,0.000946337592578647
Base,K.anderssoni,0.246,0.00170208605004172
Base,N.achirus,0.246,0.00108348791130211
Base,N.coatsi,0.246,3.90492346425345e-07
Base,P.antarcticum,0.246,0.00105408987666032
Base,P.bolini,0.246,0.00247168102394155
Base,P.gracilis,0.246,7.38518682038721e-08
Base,B.antarcticus,0.297,0.00134704099355404
Base,C.gunnari,0.297,5.98042427774664e-08
Base,C.microdon,0.297,0.00231531393610479
Base,C.piriei,0.297,1.5833990581385e-07
Base,D.eleginoides,0.297,7.78573666072221e-10
Base,D.mawsoni,0.297,2.04097240811121e-10
Base,E.antarctica,0.297,0.0019925013795065
Base,E.carlsbergi,0.297,0.000558523352190877
Base,G.braueri,0.297,0.00110416372148825
Base,G.fraseri,0.297,0.00246320858615408
Base,G.nicholsi,0.297,0.000808143654922032
Base,K.anderssoni,0.297,0.00143320536140161
Base,N.achirus,0.297,0.000938089963247809
Base,N.coatsi,0.297,3.43089777544598e-07
Base,P.antarcticum,0.297,0.000916221232979216
Base,P.bolini,0.297,0.00207626217382851
Base,P.gracilis,0.297,6.50522781854932e-08
Base,B.antarcticus,0.358,0.0011488583553269
Base,C.gunnari,0.358,5.22265713080588e-08
Base,C.microdon,0.358,0.00208227717181514
Base,C.piriei,0.358,1.39323031104363e-07
Base,D.eleginoides,0.358,6.84185234439834e-10
Base,D.mawsoni,0.358,1.7949769623426e-10
Base,E.antarctica,0.358,0.0016593583618036
Base,E.carlsbergi,0.358,0.000473654002902009
