name,w,total_n
KD_LD,153,2.38438993696125e-05
KD_LD,184,1.7077668752688e-05
KD_LD,223,1.67426575315747e-08
KD_LD,269,1.63555395740826e-08
KD_LD,325,1.64510194695498e-08
KD_LD,393,1.73726648502408e-08
KD_LD,475,2.0259784739347e-08
KD_LD,574,3.24472265811457e-08
KD_LD,693,4.89008068160808e-08
KD_LD,838,4.77017422174669e-09
KD_LD,1010,5.31569284801488e-09
KD_LD,1220,6.95660953693699e-09
KD_LD,1480,1.21649346018711e-08
KD_LD,1780,7.79659525914652e-09
KD_LD,2160,1.14679433887987e-09
KD_LD,2610,2.08861976002595e-09
KD_LD,3150,1.90321635080108e-12
KD_LD,3800,1.68908145983871e-12
KD_LD,4600,1.50032635913784e-12
KD_LD,5550,1.33411847662612e-12
KD_LD,6710,1.18886216573633e-12
KD_LD,8110,1.06872262085526e-12
KD_LD,9800,1.00903527702201e-12
KD_LD,11800,1.15155953127129e-12
KD_LD,14300,1.53932875662934e-12
KD_LD,17300,1.77087536549841e-12
KD_LD,20900,1.81203739482846e-12
KD_LD,25200,1.81491084052683e-12
KD_LD,30500,1.8413364340608e-12
KD_LD,36800,1.92025729838363e-12
KD_LD,44500,2.10201943110067e-12
KD_LD,53800,2.61541302424701e-12
KD_LD,65000,5.12022390387442e-13
KD_LD,78500,6.23136100836507e-13
KD_LD,94800,1.6310678037788e-12
KD_LI,0.000697,8.97788819751032e-06
KD_LI,0.000842,0.990207046315869
KD_LI,0.00102,0.871514286440828
KD_LI,0.00123,0.766837494963914
KD_LI,0.00149,0.674525239790398
KD_LI,0.00179,0.593120666843317
KD_LI,0.00217,0.521338669633162
KD_LI,0.00262,0.458045737926419
KD_LI,0.00317,0.424563645549659
KD_LI,0.00382,0.409216443102369
KD_LI,0.00462,0.358976610885813
KD_LI,0.00558,0.31469797040075
KD_LI,0.00675,0.275680824590791
KD_LI,0.00815,0.241308278129305
KD_LI,0.00985,0.211036443522331
KD_LI,0.0119,0.184385781453469
KD_LI,0.0144,0.160933442550204
KD_LI,0.0174,0.140306494357415
KD_LI,0.021,0.122176309215411
KD_LI,0.0254,0.106251716034133
KD_LI,0.0306,0.0922767377502168
KD_LI,0.037,0.0800248141341299
KD_LI,0.0447,0.0692957766519185
KD_LI,0.0541,0.0599135678581811
KD_LI,0.0653,0.0517291101869268
KD_LI,0.0789,0.0446486616103663
KD_LI,0.0954,0.0387112608915604
KD_LI,0.115,0.0337633015243825
KD_LI,0.139,0.0292377313016689
KD_LI,0.168,0.0251611630662673
KD_LI,0.203,0.0216034463634369
KD_LI,0.246,0.0185272456502975
KD_LI,0.297,0.0158760715238559
KD_LI,0.358,0.0135964008413379
KD_LI,0.433,0.0116420481448073
KD_LI,0.523,0.00998193454432178
KD_LI,0.632,0.00863200228997202
KD_LI,0.764,0.00763890523032053
KD_LI,0.923,0.00675586630646606
KD_LI,1.12,0.00585410202193741
KD_LI,1.35,0.00507598044695968
KD_LI,1.63,0.00456080176391072
KD_LI,1.97,0.00434277123708715
KD_LI,2.38,0.00409312651572943
KD_LI,2.87,0.00382229652293552
KD_LI,3.47,0.00343206886352739
KD_LI,4.19,0.00286535480926792
KD_LI,5.07,0.00293675502871939
KD_LI,6.12,0.00184636738933394
KD_LI,7.4,0.00109335125113708
KD_LI,8.94,0.000915950982380185
KD_LI,10.8,0.000567267803161817
KD_LI,13,0.000491672135774036
KD_LI,15.8,0.000468888709221601
KD_LI,19,0.000431059799460284
KD_LI,23,0.000367887236173777
KD_LI,27.8,0.000288598707444111
KD_LI,33.6,0.000174323426768971
KD_LI,40.6,0.000129225365009792
KD_LI,49,0.000118248805001086
KD_LI,59.3,5.355412965845e-05
KD_LI,71.6,3.23177606821234e-05
KD_LI,86.5,2.92786405842424e-05
KD_LI,105,2.6767658347161e-05
KD_LI,126,2.48643465990848e-05
KD_LI,153,2.39250570930037e-05
KD_LI,184,1.71295434839629e-05
KD_LI,223,1.68734359837664e-08
KD_LI,269,1.64723813400155e-08
KD_LI,325,1.65490636503188e-08
KD_LI,393,1.74521637635214e-08
KD_LI,475,2.03266368268768e-08
KD_LI,574,3.25199561734764e-08
KD_LI,693,4.8984667767848e-08
KD_LI,838,4.77909128244824e-09
KD_LI,1010,5.32321666783207e-09
KD_LI,1220,6.96412341560604e-09
KD_LI,1480,1.21754111131533e-08
KD_LI,1780,7.80196431243075e-09
KD_LI,2160,1.14738157796523e-09
KD_LI,2610,2.08940828054163e-09
KD_LI,3150,1.90578230850525e-12
KD_LI,3800,1.69090967780164e-12
KD_LI,4600,1.50162417748134e-12
KD_LI,5550,1.33504305669689e-12
KD_LI,6710,1.18952765545983e-12
KD_LI,8110,1.06921060903696e-12
KD_LI,9800,1.0094119720628e-12
KD_LI,11800,1.15190793757634e-12
KD_LI,14300,1.53971566865708e-12
KD_LI,17300,1.771248950619e-12
KD_LI,20900,1.81235468064274e-12
KD_LI,25200,1.81518680092556e-12
KD_LI,30500,1.84159533195272e-12
KD_LI,36800,1.92051917195974e-12
KD_LI,44500,2.10230686057357e-12
KD_LI,53800,2.61578294253293e-12
KD_LI,65000,5.12062824787811e-13
KD_LI,78500,6.23183023847986e-13
KD_LI,94800,1.63120577213363e-12
KI,0.000697,9.00928540850012e-06
KI,0.000842,0.995646067868707
KI,0.00102,0.876094563573999
KI,0.00123,0.770688668964249
KI,0.00149,0.677758821221754
KI,0.00179,0.595832480974642
KI,0.00217,0.523610972503849
KI,0.00262,0.459949045962433
KI,0.00317,0.426222440698758
KI,0.00382,0.410748893420145
KI,0.00462,0.360265214017801
KI,0.00558,0.315785400416229
KI,0.00675,0.276603189462379
KI,0.00815,0.24209599296347
KI,0.00985,0.211714986476363
KI,0.0119,0.184976349761449
KI,0.0144,0.161453523884099
KI,0.0174,0.140770366729736
KI,0.021,0.122595480475757
KI,0.0254,0.106635313929477
KI,0.0306,0.0926318556670611
KI,0.037,0.0803568218944788
KI,0.0447,0.0696086000274894
KI,0.0541,0.060209941296737
KI,0.0653,0.0520108057645354
KI,0.0789,0.0449166942513097
KI,0.0954,0.038966062413663
KI,0.115,0.0340049298144521
KI,0.139,0.0294660917045833
KI,0.168,0.0253759770666238
KI,0.203,0.0218043542592608
KI,0.246,0.018713926811255
KI,0.297,0.0160483121935996
KI,0.358,0.013754138061084
KI,0.433,0.0117854278390743
KI,0.523,0.010111554991661
KI,0.632,0.00875005411707411
KI,0.764,0.00775039014327216
KI,0.923,0.006860568347635
KI,1.12,0.00594760311346714
KI,1.35,0.00515766135576184
KI,1.63,0.0046339167237686
KI,1.97,0.00441153379202545
KI,2.38,0.00415473364385682
KI,2.87,0.00387507038210582
KI,3.47,0.00347528732745687
KI,4.19,0.0028976229270069
KI,5.07,0.00296592769215051
KI,6.12,0.00186540941207974
KI,7.4,0.00110513792936184
KI,8.94,0.000925365523447194
KI,10.8,0.000572792556402265
KI,13,0.000495820871681678
KI,15.8,0.000472400548206205
KI,19,0.000433971132461129
KI,23,0.000370161926840472
KI,27.8,0.000290243100803386
KI,33.6,0.000175173168341842
KI,40.6,0.000129793593839863
KI,49,0.000118750849807447
KI,59.3,5.37294001111424e-05
KI,71.6,3.23983702225574e-05
KI,86.5,2.93518299814378e-05
KI,105,2.68348908264278e-05
KI,126,2.49271574683772e-05
KI,153,2.39858316890982e-05
KI,184,1.7173084141238e-05
KI,223,1.68865391422789e-08
KI,269,1.64907739631372e-08
KI,325,1.65719043215013e-08
KI,393,1.74798840272501e-08
KI,475,2.03625146242542e-08
KI,574,3.25830641640206e-08
KI,693,4.90825621212107e-08
KI,838,4.78559197648826e-09
KI,1010,5.33108057456579e-09
KI,1220,6.97528502885755e-09
KI,1480,1.21959209264487e-08
KI,1780,7.81414005315913e-09
KI,2160,1.14840742162998e-09
KI,2610,2.09101877552833e-09
KI,3150,1.90638702247761e-12
KI,3800,1.69160065748761e-12
KI,4600,1.50237308881303e-12
KI,5550,1.33582008357919e-12
