name,w,total_n
LD,5550,1.33528816735043e-12
LD,6710,1.18984940095449e-12
LD,8110,1.06957667525404e-12
LD,9800,1.00981141669207e-12
LD,11800,1.15238740265219e-12
LD,14300,1.54033358983559e-12
LD,17300,1.77190951852121e-12
LD,20900,1.81297896355092e-12
LD,25200,1.81576803541405e-12
LD,30500,1.84214240780971e-12
LD,36800,1.92104530752956e-12
LD,44500,2.10283589534341e-12
LD,53800,2.61638983592354e-12
LD,65000,5.12132055799759e-13
LD,78500,6.23245441416352e-13
LD,94800,1.63134140334866e-12
LI,0.000697,8.9202206093983e-06
LI,0.000842,0.984598101356893
LI,0.00102,0.866591537932977
LI,0.00123,0.762522834646398
LI,0.00149,0.670749579386379
LI,0.00179,0.589822880168073
LI,0.00217,0.518464653561921
LI,0.00262,0.455547578749263
LI,0.00317,0.422253674171303
LI,0.00382,0.407017931338521
LI,0.00462,0.357086872319593
LI,0.00558,0.313081760380381
LI,0.00675,0.274306727580023
LI,0.00815,0.240148238419265
LI,0.00985,0.210065353731365
LI,0.0119,0.183581123514403
LI,0.0144,0.160274976526461
LI,0.0174,0.139775990927042
LI,0.021,0.121757319499266
LI,0.0254,0.105929388006426
LI,0.0306,0.092037648996229
LI,0.037,0.079856844417202
LI,0.0447,0.0691880008870617
LI,0.0541,0.0598561637168778
LI,0.0653,0.0517132505099518
LI,0.0789,0.0446662622683418
LI,0.0954,0.0387543767247037
LI,0.115,0.0338252370661599
LI,0.139,0.0293148823599686
LI,0.168,0.0252498824336828
LI,0.203,0.0216999568989827
LI,0.246,0.0186281826263251
LI,0.297,0.0159785516937911
LI,0.358,0.0136979939445163
LI,0.433,0.0117407724465424
LI,0.523,0.0100764260645797
LI,0.632,0.00872245507673297
LI,0.764,0.00772822383965958
LI,0.923,0.00684295777626542
LI,1.12,0.00593419495283033
LI,1.35,0.00514765517379524
LI,1.63,0.00462637969157479
LI,1.97,0.00440523540119781
LI,2.38,0.00414915874692793
LI,2.87,0.00387045220053979
LI,3.47,0.00347127466797194
LI,4.19,0.00289437318862432
LI,5.07,0.0029621086326984
LI,6.12,0.00186252534880045
LI,7.4,0.0011033415786931
LI,8.94,0.000923764114278039
LI,10.8,0.000571883210719099
LI,13,0.000495058577556529
LI,15.8,0.000471631209081021
LI,19,0.000433252949222725
LI,23,0.000369552735335104
LI,27.8,0.000289774574305701
LI,33.6,0.000174934912200451
LI,40.6,0.000129628036461087
LI,49,0.000118591757081435
LI,59.3,5.36779917272794e-05
LI,71.6,3.23766690099595e-05
LI,86.5,2.93298229713353e-05
LI,105,2.68127560798291e-05
LI,126,2.49048519346648e-05
LI,153,2.3962823438088e-05
LI,184,1.7155839709704e-05
LI,223,1.68967087834018e-08
LI,269,1.64938999805415e-08
LI,325,1.65696443716257e-08
LI,393,1.74729753877716e-08
LI,475,2.03500899551049e-08
LI,574,3.25567606869848e-08
LI,693,4.90387345760171e-08
LI,838,4.78300115987179e-09
LI,1010,5.32760997472714e-09
LI,1220,6.97000393475807e-09
LI,1480,1.2185769313158e-08
LI,1780,7.807941835772e-09
LI,2160,1.14790124963251e-09
LI,2610,2.0902034603147e-09
LI,3150,1.90640832941368e-12
LI,3800,1.69149445847837e-12
LI,4600,1.50217265892263e-12
LI,5550,1.33555530146223e-12
LI,6710,1.19000212602954e-12
LI,8110,1.0696475290469e-12
LI,9800,1.00982294614379e-12
LI,11800,1.15234264307983e-12
LI,14300,1.54021900481942e-12
LI,17300,1.77175359718705e-12
LI,20900,1.81281435311958e-12
LI,25200,1.81560497034269e-12
LI,30500,1.84198302809546e-12
LI,36800,1.92088870036337e-12
LI,44500,2.10267717178333e-12
LI,53800,2.61620863597592e-12
LI,65000,5.12111454313956e-13
LI,78500,6.23227966952102e-13
LI,94800,1.63130745253732e-12
